med_name;ATC_code
Amlodipine;ATC:C08CA01
Diltiazem;ATC:C08DB01
Felodipine;ATC:C08CA02
Isradipine;ATC:C08CA03
Lercanidipine;ATC:C08CA13
Nifedipine;ATC:C08CA05
Verapamil;ATC:C08DA01
Ambrisentan;ATC:C02KX02
Bosentan;ATC:C02KX01
Macitentan;ATC:C02KX04
Sitaxentan;ATC:C02KX03
Sildenafil;ATC:G04BE03
Tadalafil;ATC:G04BE08
Vardenafil;ATC:G04BE09
Beraprost;ATC:B01AC19
Iloprost;ATC:B01AC11
Epoprostenol;ATC:B01AC09
Treprostinil;ATC:B01AC21
Selexipag;ATC:B01AC27
Riociguat;ATC:C02KX05
Imatinib;ATC:L01XE01
Sotatercept;ATC:C02KX06
Benazepril;ATC:C09AA07
Enalapril;ATC:C09AA02
Lisinopril;ATC:C09AA03
Perindopril;ATC:C09AA04
Quinapril;ATC:C09AA06
Ramipril;ATC:C09AA05
Trandolapril;ATC:C09AA10
Fosinopril;ATC:C09AA09
Olmesartan ;ATC:C09CA08
Valsartan;ATC:C09CA03
Irbesartan;ATC:C09CA04
Losartan;ATC:C09CA01
Candesartan;ATC:C09CA06
Azilsartan;ATC:C09CA09
Telmisartan;ATC:C09CA07
